movement_id,movement_datetime,impact_pips,direction,num_events,total_score,event_keys,pattern_type,trough1_idx,trough1_price,trough1_amplitude_pips,trough1_time_min,trough2_idx,trough2_price,trough2_amplitude_pips,trough2_time_min,peak_idx,peak_price,rise_ratio,confidence,peak1_idx,peak1_price,peak1_amplitude_pips,peak1_time_min,peak2_idx,peak2_price,peak2_amplitude_pips,peak2_time_min,trough_idx,trough_price,dip_ratio,reason,baseline_price
17,2023-02-01 20:35:00+01:00,95.43999999999777,UP,5,143.88440251572516,"new car registrations_yoy,fed interest rate decision,fed press conference,eia crude oil stocks change,eia distillate stocks change",DOUBLE_WAVE_UP,,,,,,,,,,,,0.9,42.0,1.10014,96.29999999999804,42.0,76.0,1.10004,95.29999999999816,76.0,51.0,1.09698,0.328141225337476,,
1,2023-01-04 08:21:00+01:00,53.25000000000024,UP,11,145.35620390720484,"current account,import prices_yoy,cpi,services pmi,inflation rate_yoy,inflation rate_mom,consumer confidence,harmonised inflation rate_yoy,harmonised inflation rate_mom,s&p global composite pmi,s&p global services pmi",DOUBLE_WAVE_UP,,,,,,,,,,,,0.9,80.0,1.06358,58.499999999999105,80.0,103.0,1.0625,47.699999999999406,103.0,95.0,1.06086,0.4649572649572815,,
39,2023-03-22 18:49:00+01:00,120.75999999999976,UP,11,212.85015019571804,"m3 money supply_yoy,ecb panetta speech,eia heating oil stocks change,eia crude oil stocks change,eia distillate stocks change,eia crude oil imports change,eia refinery crude runs change,eia cushing crude oil stocks change,eia gasoline production change,eia gasoline stocks change,eia distillate fuel production change",DOUBLE_WAVE_UP,,,,,,,,,,,,0.9,69.0,1.09128,121.99999999999989,69.0,110.0,1.0893,102.19999999999897,110.0,90.0,1.08528,0.4918032786885255,,
6,2023-01-10 14:45:00+01:00,44.10000000000025,UP,10,123.06469878409068,"foreign direct investment,redbook_yoy,fed chair powell speech,outstanding loan growth_yoy,m2 money supply_yoy,new yuan loans,inflation rate_mom,inflation rate_yoy,6 month letras auction,12 month letras auction",DOUBLE_WAVE_UP,,,,,,,,,,,,0.9,61.0,1.07596,40.99999999999993,61.0,97.0,1.07534,34.79999999999927,97.0,77.0,1.07323,0.665853658536616,,
79,2023-07-07 14:25:00+02:00,51.13999999999841,UP,13,263.41713312884065,"inflation rate_yoy,retail sales_mom,imports_yoy,balance of trade,retail sales_yoy,ecb guindos speech,average hourly wages_yoy,average hourly earnings_mom,average hourly earnings_yoy,balance of trade,foreign exchange reserves,new car registrations_mom,inflation rate_mom",DOUBLE_WAVE_UP,,,,,,,,,,,,0.9,22.0,1.09317,49.79999999999984,22.0,38.0,1.09251,43.20000000000101,38.0,28.0,1.09027,0.5823293172690586,,
12,2023-01-18 11:59:00+01:00,42.29000000000038,DOWN,5,47.67875381169862,"harmonised inflation rate_yoy,construction output_yoy,inflation rate_yoy,harmonised inflation rate_yoy,retail sales_mom",DOUBLE_WAVE_DOWN,70.0,1.08118,44.19999999999868,70.0,80.0,1.08194,36.599999999999966,80.0,74.0,1.08275,0.355203619909529,0.9,,,,,,,,,,,,,
16,2023-01-31 09:00:00+01:00,44.11000000000165,DOWN,27,251.7434822752789,"gdp growth rate_qoq,gdp growth rate_yoy,private consumption_mom,unemployment rate,import prices_mom,import prices_yoy,retail sales_mom,current account,retail sales_mom,ppi_yoy,retail sales_yoy,coincident index,retail sales_yoy,harmonised inflation rate_yoy,inflation rate_yoy,inflation rate_mom,gdp growth rate_qoq,export orders_yoy,gdp growth rate_yoy,gdp growth rate_qoq,gdp growth rate_yoy,m2 money supply_yoy,unemployment rate,unemployed persons,unemployment change,unemployment rate,m3 money supply_yoy",DOUBLE_WAVE_DOWN,70.0,1.08024,45.89999999999872,70.0,89.0,1.08137,34.600000000000186,89.0,85.0,1.08203,0.389978213507627,0.9,,,,,,,,,,,,,
2,2023-01-04 16:02:00+01:00,41.080000000000005,DOWN,14,271.3427789930426,"boe consumer credit,net lending to individuals_mom,mortgage approvals,ism manufacturing new orders,ism manufacturing prices,ism manufacturing employment,jolts job openings,house price index_yoy,new car registrations_yoy,house price index_mom,jolts job quits,ism manufacturing pmi,interest rate decision,2 year schatz auction",DOUBLE_WAVE_DOWN,33.0,1.05815,38.40000000000066,33.0,41.0,1.05851,34.79999999999927,41.0,38.0,1.05999,0.479166666666675,0.9,,,,,,,,,,,,,
36,2023-03-15 13:36:00+01:00,58.31999999999837,DOWN,12,103.60419787449548,"inflation rate_mom,harmonised inflation rate_mom,inflation rate_yoy,harmonised inflation rate_yoy,ppi_mom,ppi_yoy,inflation rate_mom,inflation rate_yoy,iea oil market report,exports,balance of trade,imports",DOUBLE_WAVE_DOWN,63.0,1.05228,54.09999999999915,63.0,99.0,1.05299,46.99999999999926,99.0,89.0,1.05547,0.58964879852123,0.9,,,,,,,,,,,,,
331,2025-05-22 08:30:00+02:00,41.21999999999959,DOWN,16,156.50888923250145,"inflation rate_yoy,public sector net borrowing ex banks,public sector net borrowing,inflation rate_mom,unemployment rate,business climate indicator,business confidence,inflation rate_yoy,inflation rate_mom,business confidence,manufacturing confidence,capacity utilization,current account,boe breeden speech,loan growth_yoy,inflation report",DOUBLE_WAVE_DOWN,70.0,1.12961,43.5999999999992,70.0,101.0,1.13108,28.89999999999837,101.0,98.0,1.13225,0.6055045871559689,0.9,,,,,,,,,,,,,
